"1-Stage:stage_duration","1-Stage:stage_update_count","2-Stage:stage_duration","2-Stage:stage_update_count","3-Stage:stage_duration","3-Stage:stage_update_count","4-Stage:stage_duration","4-Stage:stage_update_count","5-Stage:stage_duration","5-Stage:stage_update_count","Amount","Amount_count","CloseDate","CloseDate_count","Competition","Competition_count","ForecastCategoryName","ForecastCategoryName_count","Incremental_from_Partner","Incremental_from_Partner_count","Lead_Conversion_Notes","Lead_Conversion_Notes_count","Meeting_Completed_Date","Meeting_Completed_Date_count","Owner","Owner_count","Region","Region_count","Scheduled_Meeting_Date","Scheduled_Meeting_Date_count","Solution_Category","Solution_Category_count","Who_Won_the_Deal","Who_Won_the_Deal_count","Why_Closed_Lost","Why_Closed_Lost_count","created","created_count","opportunityCreatedFromLead","opportunityCreatedFromLead_count","outcome"
"91.0","7.0","0.0","0.0","0.0","0.0","38.0","9.0","14.0","7.0","200000.0","12.0","2014-01-06","10.0","No","0.0","Closed","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","2"
"0.0","2.0","50.0","13.0","0.0","0.0","31.0","2.0","0.0","0.0","29000.0","6.0","2013-10-18","6.0","No","0.0","Closed","8.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"70.0","171.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","3.0","170000.0","36.0","2013-12-04","108.0","No","0.0","Closed","36.0","No","0.0","null","9.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"4.0","4.0","0.0","0.0","0.0","0.0","41.0","2.0","0.0","0.0","30000.0","2.0","2014-03-17","2.0","No","0.0","Closed","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","2"
"28.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","2.0","3500.0","2.0","2013-09-23","2.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","2"
"88.0","5.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","0.0","7188.0","3.0","2014-01-17","2.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","2"
"2.0","5.0","0.0","0.0","2.0","3.0","0.0","0.0","0.0","0.0","91825.0","3.0","2013-08-03","1.0","No","0.0","Omitted","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","4"
"14.0","11.0","0.0","1.0","0.0","0.0","0.0","6.0","0.0","0.0","65000.0","2.0","2014-01-28","4.0","No","0.0","Closed","4.0","Yes","2.0","No","0.0","No","0.0","00540000002JjSuAAK","8.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","2"
"68.0","7.0","0.0","0.0","0.0","0.0","45.0","23.0","1.0","1.0","58106.71","21.0","2014-01-31","2.0","No","0.0","Closed","3.0","No","0.0","null","3.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","2"
"0.0","2.0","0.0","0.0","23.0","2.0","0.0","0.0","0.0","0.0","3885.0","1.0","No","0.0","No","0.0","Omitted","1.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","1.0","No","0.0","4"
"0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","88.0","2.0","6000.0","1.0","2014-02-04","2.0","No","0.0","Commit","1.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","1.0","37128.0","2.0","2013-08-13","2.0","No","0.0","Closed","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","2"
"16.0","6.0","49.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","1500000.0","8.0","2014-01-31","4.0","No","0.0","Omitted","2.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","3"
"5.0","4.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","4780.0","2.0","No","0.0","No","0.0","Omitted","4.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","No","0.0","null","2.0","No","0.0","4"
