"1-Stage:stage_duration","1-Stage:stage_update_count","2-Stage:stage_duration","2-Stage:stage_update_count","3-Stage:stage_duration","3-Stage:stage_update_count","4-Stage:stage_duration","4-Stage:stage_update_count","5-Stage:stage_duration","5-Stage:stage_update_count","outcome"
"0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"28.0","9.0","0.0","0.0","0.0","0.0","168.0","24.0","0.0","1.0","2"
"0.0","8.0","0.0","0.0","0.0","0.0","5.0","3.0","0.0","0.0","2"
"44.0","4.0","0.0","0.0","79.0","12.0","134.0","15.0","0.0","0.0","2"
"11.0","4.0","0.0","0.0","0.0","0.0","44.0","10.0","0.0","0.0","2"
"240.0","13.0","50.0","13.0","57.0","3.0","31.0","2.0","0.0","0.0","2"
"4.0","35.0","0.0","0.0","0.0","0.0","0.0","0.0","70.0","31.0","2"
"26.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","6.0","2"
"39.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","234.0","184.0","4"
"81.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"6.0","1.0","0.0","0.0","19.0","8.0","0.0","2.0","13.0","2.0","2"
"7.0","16.0","0.0","0.0","37.0","1.0","0.0","0.0","21.0","9.0","2"
"0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"85.0","6.0","0.0","0.0","102.0","8.0","0.0","0.0","0.0","0.0","2"
"68.0","7.0","0.0","0.0","0.0","0.0","45.0","23.0","1.0","1.0","2"
"0.0","41.0","0.0","0.0","2.0","4.0","0.0","0.0","0.0","4.0","2"
"0.0","36.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"10.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","44.0","1.0","2"
"0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","7.0","0.0","0.0","119.0","2.0","0.0","0.0","0.0","0.0","4"
"29.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","3.0","2"
"0.0","30.0","0.0","0.0","2.0","2.0","7.0","5.0","0.0","0.0","2"
"20.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"26.0","10.0","105.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"6.0","11.0","7.0","5.0","55.0","2.0","0.0","0.0","27.0","9.0","2"
"0.0","4.0","0.0","0.0","10.0","4.0","10.0","2.0","3.0","5.0","2"
"26.0","7.0","0.0","0.0","0.0","0.0","212.0","10.0","0.0","0.0","4"
"57.0","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
"171.0","56.0","33.0","2.0","13.0","8.0","0.0","0.0","0.0","0.0","2"
"24.0","4.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"309.0","21.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4"
"16.0","6.0","0.0","0.0","57.0","9.0","0.0","0.0","0.0","0.0","4"
"9.0","7.0","20.0","4.0","0.0","0.0","14.0","4.0","9.0","5.0","2"
"0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2"
